,URL,DESCRIPTION
25,https://seeclickfix.com/files/issue_images/0009/9458/1356549415388.jpg,Over growth of tree. I don't feel safe walking by with obstructed sidewalk view at night. One must duck to get past overhang. Also encroaching on power lines above.
26,https://seeclickfix.com/files/issue_images/0010/3230/1359221248608.jpg,"Needs pruning, BAD!"
27,https://seeclickfix.com/files/issue_images/0010/3486/tia-745695205.jpg,wires in trees
28,https://seeclickfix.com/files/issue_images/0019/8322/1399946326565.jpg,Dead tree at 14 th and frontage rd
29,https://seeclickfix.com/files/issue_images/0010/7713/1361635096292.jpg,Tree tagged with graffiti :(
30,https://seeclickfix.com/files/issue_images/0075/8745/1494101012519.jpg,"The two trees at the SW corner of the intersection of Elwood at Valle Vista substantially block the uphill view of Elwood from (northbound) Valle Vista. They make it extremely dangerous to turn onto Elwood (in either direction) from the one way section of Valle Vista because the driver can't see whether cars are coming down the hill. I have had several near-misses at this intersection, and witnessed many more. The trees should be removed (and possibly replaced with a different type of tree that doesn't cause a severe sight obstruction. "
31,https://seeclickfix.com/files/issue_images/0054/9552/20160714_130756.jpg,Every tree on Arlington Street in the 800 block from 800 - 843 Arlington on both sides of the streets needs critical trimming. The heavy tree branches are leaning heavily on the PG&E and telephone lines. This situation is critical. 
32,https://seeclickfix.com/files/issue_images/0082/9577/dragmarker-60bca068454230dd73b20bbeb88fd475c4129b2c610a3cd32affd2026b77c5d4_1_.gif,Tree has grown too high and is a hazard 
33,https://seeclickfix.com/files/issue_images/0011/7234/1365700122397.jpg,"Non an emergency, but a safety issue. Low growing tree can provide more lighting if trimmed of the bottom branches. We love our trees but please lift the lower branches at the corner of Adams and Lee. Thanks. We are having auto breaking on Adams St."
34,https://seeclickfix.com/files/issue_images/0012/6884/IMAG0089.jpg,"tree growing into powerlines
 "
35,https://seeclickfix.com/files/issue_images/0012/6634/1369268795630.jpg,Broken stake at marston Campbell park on 16th street side
36,https://seeclickfix.com/files/issue_images/0013/9389/1374115823614.jpg,Overgrown and blocking side walk. 
37,https://seeclickfix.com/files/issue_images/0014/0488/20130717_114741.jpg,tree branch hanging over sidewalk
38,https://seeclickfix.com/files/issue_images/0014/5932/DSC_1726.png,"There used to be a street tree in front of Rumbo al Sur at 4239 Park Blvd. Now, there are only 2 poles left, to hold up the disappeared tree. This appears to be an Oakland city tree.

Perhaps the tree was hit by a car. Perhaps it died an untimely death.

In any case, it would be nice if the city would replace the tree.
"
39,https://seeclickfix.com/files/issue_images/0014/3764/IMG_9306_2.jpg,Ramona Avenue is a very narrow street. Large ash trees are well overgrown and crowding the center of the street so that you cannot see up the street and light does not penetrate. It would be great if you could at least trim a few of these toward the center. Obviously you cannot trim all these trees but just to cut four a five limbs overhanging the center road could be helpful
40,https://seeclickfix.com/files/issue_images/0014/9685/1377919622334.jpg,"In light of recent robberies, we're concerned that the street trees at 5470 Manila and the houses on either side are darkening the sidewalk.  Trimming them would help, I think.  Thanks."
41,https://seeclickfix.com/files/issue_images/0015/2237/20130909_185143.jpg,"Overgrown tree branches. In a one month period,  One of the branch fell onto the property almost hitting a kid playing in the front yard and another time the other branch fell almost crushing the car parked in front. Some of the branches is deteriorating and breaking off. The branches needs to be trim back some.  It's hazardous to people living at this property,  please trim. "
42,https://seeclickfix.com/files/issue_images/0015/4708/1379874689773.jpg,Two trees missing and need to be replaced at north end of Mandela Parkway park at West Grand.
43,https://seeclickfix.com/files/issue_images/0015/5637/IMAG0668.jpg,street tree should be trimmed. the streey light dies not shinein the street
44,https://seeclickfix.com/files/issue_images/0016/3004/Street_Tree.jpg,"3 Sweetgum trees need heavy pruning. there have been 2 muggings on this small stretch of street  in the last 6 months because of how dark it is. the streets trees are over grown and covering the lights, not to mention hanging on the overhead lines. "
45,https://seeclickfix.com/files/issue_images/0016/5217/1385222093522.jpg,Please come trim these trees they are too tall and will eventually fall on someone's house or on someone like it did on Austin Street. 
46,https://seeclickfix.com/files/issue_images/0016/5993/Tree_Akimbo.jpg,This is one of about 10 street trees that were planted just over a year ago as part of the Lakeshore Complete Streets Improvement Project.  Three have already fallen and been removed.  At least three others have snapped off part way up the trunk including one on Rand that's two-thirds gone.  This can't be coincidental.  Blame has to go to the contractors who installed the trees without adequate staking and most likely too shallow with too little soil compaction.  The trees need to be replaced.  It would be nice to see it done at the contractor's expense - not the city's. 
47,https://seeclickfix.com/files/issue_images/0016/5993/Tree_Akimbo.jpg,This is one of about 10 street trees that were planted just over a year ago as part of the Lakeshore Complete Streets Improvement Project.  Three have already fallen and been removed.  At least three others have snapped off part way up the trunk including one on Rand that's two-thirds gone.  This can't be coincidental.  Blame has to go to the contractors who installed the trees without adequate staking and most likely too shallow with too little soil compaction.  The trees need to be replaced.  It would be nice to see it done at the contractor's expense - not the city's. 
48,https://seeclickfix.com/files/issue_images/0016/7508/1387206748673.jpg,These overhanging trees have been blocking the S side of 53rd between Genoa and Market for months and just keep getting lower.  This has been reported before.  Are we supposed to just walk in the middle of the street?
49,https://seeclickfix.com/files/issue_images/0017/5470/20140206_161246.jpg,Please top off tree. Thank you
50,https://seeclickfix.com/files/issue_images/0018/7468/20140403_130320.jpg,Large oak fell and appears to have damaged the tree on the street. See attached picture
51,https://seeclickfix.com/files/issue_images/0018/8330/1396990138633.jpg,Second tree in Maxwell Park that is hanging on cables over the street. First report dealt with tree by restroom. This one is near main park entrance.
52,https://seeclickfix.com/files/issue_images/0018/8330/1396990138633.jpg,Second tree in Maxwell Park that is hanging on cables over the street. First report dealt with tree by restroom. This one is near main park entrance.
53,https://seeclickfix.com/files/issue_images/0018/8773/1397105589818.jpg,Tree is fully blocked by the light - this steer is dangerously dark
54,https://seeclickfix.com/files/issue_images/0019/9364/1400282121619.jpg,"Tree needs protection poles. A car crashed into a sign, which broke the previous pole supporting/protecting this young tree. Thanks,"
55,https://seeclickfix.com/files/issue_images/0019/8779/1400093247866.jpg,Newly planted tree has been knocked down. 
56,https://seeclickfix.com/files/issue_images/0020/9779/Trees_on_Ramona.jpg,Trees on this street are overwhelming in size realtive to the narrow street and small homes. Could Oakland public works do minimal pruning down the center. Thank you.
57,https://seeclickfix.com/files/issue_images/0021/8324/1405453087324.jpg,"The two trees near my property needs trimming and the tree on the corner of Orral  street and 73rd ave shrubs need to be cut down, it's intruding into the sidewalk and street."
58,https://seeclickfix.com/files/issue_images/0022/6638/1407259535017.jpg,"Because the tree hangs out into the street, the street sweeper will not sweep in front of me and my neighbors homes."
59,https://seeclickfix.com/files/issue_images/0023/1213/SCF__20140817_192700-1344229118.jpg,"This tree needs trimming, otherwise there is a good chance it will break the power lines..."
60,https://seeclickfix.com/files/issue_images/0023/4825/1409181276855.jpg,Support stake bent
61,https://seeclickfix.com/files/issue_images/0023/7582/35th_and_Brookdale.JPG,Tree needs to be trimmed.  It is covering up the bus stop sign. (The bus stop sign cannot be moved because there is no alternative location without blocking the crosswalk or a driveway.)  Thank you for your assistance!
62,https://seeclickfix.com/files/issue_images/0025/1261/1413840664097.jpg,Please trim these weeds get these trees trimmed. On both sides of the street thank you
63,https://seeclickfix.com/files/issue_images/0025/3224/1414457078807.jpg,Street tree (liquid amber) needs pruning.
64,https://seeclickfix.com/files/issue_images/0025/7999/1415822522481.jpg,Branch is weighing down electric wire
65,https://seeclickfix.com/files/issue_images/0026/6040/20140706_144514.jpg,Unable to see around undergrowth of this tree in the median of Foothill Blvd! Turning from Foothill onto 69th Ave. is EXTREMELY dangerous as no one can see oncoming traffic! I have reported this before to no avail. It has only gotten worse!
66,https://seeclickfix.com/files/issue_images/0026/8049/159_Maggiora.JPG,There is a dead pine at this location. This should be routed to Mitch Thompson and Robert Zahn. Please do not forward to fire prevention.
67,https://seeclickfix.com/files/issue_images/0026/8057/3777_Malcolm.JPG,There is a dead pine at this location. This should be routed to Mitch Thompson and Robert Zahn. Please do not forward to fire prevention.
68,https://seeclickfix.com/files/issue_images/0026/8060/10951_Cliffland.JPG,There is a dead pine at this location. This should be routed to Mitch Thompson and Robert Zahn. Please do not forward to fire prevention.
69,https://seeclickfix.com/files/issue_images/0026/8060/10951_Cliffland.JPG,There is a dead pine at this location. This should be routed to Mitch Thompson and Robert Zahn. Please do not forward to fire prevention.
70,https://seeclickfix.com/files/issue_images/0026/8060/10951_Cliffland.JPG,There is a dead pine at this location. This should be routed to Mitch Thompson and Robert Zahn. Please do not forward to fire prevention.
71,https://seeclickfix.com/files/issue_images/0026/8068/4810_stacy.JPG,There is a dead pine at this location. This should be routed to Mitch Thompson and Robert Zahn. Please do not forward to fire prevention.
72,https://seeclickfix.com/files/issue_images/0026/8041/3070_Malcolm.JPG,There is a dead pine at this location. This should be routed to Mitch Thompson and Robert Zahn. Please do not forward to fire prevention.
73,https://seeclickfix.com/files/issue_images/0026/8049/159_Maggiora.JPG,There is a dead pine at this location. This should be routed to Mitch Thompson and Robert Zahn. Please do not forward to fire prevention.
74,https://seeclickfix.com/files/issue_images/0029/0178/1424276066906.jpg,Dead tree - safe location 
75,https://seeclickfix.com/files/issue_images/0029/3226/1424997985883.jpg,1851 10 th Avenue on side of property. Two street trees being removed 4:30 pm
76,https://seeclickfix.com/files/issue_images/0030/1663/tia-519638297.jpg,downed tree from car crash
77,https://seeclickfix.com/files/issue_images/0031/4967/1429636624145.jpg,Overgrown tree blocks all the light from the street light and has caused the sidewalk to buckle.
78,https://seeclickfix.com/files/issue_images/0032/2063/1429287397025.jpg,"City tree fell across road seceral weeks ago, public works cut tree up and took away. Stump, broken pvc pipe and cones left behind. "
79,https://seeclickfix.com/files/issue_images/0032/4510/IMG_20150512_134408.jpg,Both stakes were broken by vandals
80,https://seeclickfix.com/files/issue_images/0035/0085/1436370029458.jpg,Two trees next to roadway - appear to be dead or dying. Dropping limbs. Some limbs overhang roadway and may be a fall hazard blocking the only access to residents on upper part of McDonnell. 
81,https://seeclickfix.com/files/issue_images/0035/9616/1438098104007.jpg,Please trim street tree.  Our drivers and customers are complaining of decreased visibility making it unsafe to maneuver around lot.  
82,https://seeclickfix.com/files/issue_images/0035/9723/FullSizeRender__5_.jpg,"the tree is touching our building and it's collecting leafs and also a fire hazard, please trim it ASAP"
83,https://seeclickfix.com/files/issue_images/0036/5491/1439145867867.jpg,"Related to OPW Service Request #467585. The dead city tree was cut down by the city more than a year ago, but the large stump remains. Is there any plan to remove the stump? It may be termite-infested now, or at least I see a lot of burrowed holes in it.

I would like to be able to replace it with a new city-approved tree. I can plant and care for the new tree myself, but cannot do it with the stump. "
84,https://seeclickfix.com/files/issue_images/0036/8437/SCF__20150814_155242-739205060.jpg,Limbs to low over sidewalk 
85,https://seeclickfix.com/files/issue_images/0037/9997/1441830493419.jpg,Over grown tree branches to low scratches cars
86,https://seeclickfix.com/files/issue_images/0038/1296/SCF__20150912_091442366693825.jpg,The 7 recently planted maple trees at E11th and Calcot hafe some sort of powdery mildew that is killing the leaves
87,https://seeclickfix.com/files/issue_images/0038/2843/1442349209463.jpg,It's touching our building and covering our camera that's on our building.
88,https://seeclickfix.com/files/issue_images/0038/8078/1443400773617.jpg,The tree in front of my house need trimming. I have tried to hire someone to do it but no one will touch it because of the wires going through the tree. Soon it will be sagging over the sidewalk and hitting the roof of my house. Would like this taken care of before winter rains start. 
89,https://seeclickfix.com/files/issue_images/0039/5885/1445022437534.jpg,Tall palm trees lining street have many dead fronds that are at risk of falling. These are near sidewalk and falling fronds could injure people or damage property. Fronds (about 25) fell from tree in front of 6071 Rockridge Blvd overnight last week. Requesting the trees be trimmed (dead fronds removed) before expected upcoming winter winds and storms.
90,https://seeclickfix.com/files/issue_images/0039/6982/SCF__20151019_173352605281913.jpg,Tree is to low obstructing sidewalk traffic
91,https://seeclickfix.com/files/issue_images/0040/0167/1446061843000.jpg,City tree is obstructing the sidewalk and at public right away in front of vacant lot on 9809 macarthur blvd
92,https://seeclickfix.com/files/issue_images/0040/0674/1446173553929.jpg,"The sap from a city of Oakland tree, which is located in front of my house, is causing damage to my roof. The branches that hang over my roof need to be pruned.  It is also causing damage to the paint on my house.  My house is located at 318 49th Street.  "
93,https://seeclickfix.com/files/issue_images/0040/4519/1447098156108.jpg,Tree trimming needed ASAP at the corner of 7th & Martin Luther King as traffic signal is being blocked. Additionally this traffic light is adjacent to Jefferson Park. Please help! Thank you!
94,https://seeclickfix.com/files/issue_images/0046/0061/1457848091855.jpg,Fallen tree at the intersection of Margarido and Rockridge Blvd South. 
95,https://seeclickfix.com/files/issue_images/0046/7264/SCF__20160324_180425-812041729.jpg,Tree branches are caught in electrical wires and can cause a power outage.  Also over hanging into property. 
96,https://seeclickfix.com/files/issue_images/0049/7476/1462822477647.jpg,Trees in parking lot need to be trimmed so work truck's can get in.   Thanks 
97,https://seeclickfix.com/files/issue_images/0052/5155/1465936647809.jpg,"Acacia branches hanging low, hits passing vehicles. Thanks, Noel Gallo's team"
98,https://seeclickfix.com/files/issue_images/0056/2439/1470080092270.jpg,Over grown peach tree needs trimming.
99,https://seeclickfix.com/files/issue_images/0057/1612/1471190273433.jpg,Tree-Entangled power lines are a danger for fire or power outage.
100,https://seeclickfix.com/files/issue_images/0057/1612/1471190273433.jpg,Tree-Entangled power lines are a danger for fire or power outage.
101,https://seeclickfix.com/files/issue_images/0060/3580/1474833250968.jpg,This tree is weighing down and pulling on power lines quite severely. It needs to be cut back before the cables give way and start a hills fire.
102,https://seeclickfix.com/files/issue_images/0060/7036/1475193422669.jpg,Over grown tree. It's interfering with power lines. The tree is also uprooting the the sidewalk. Recently a limb broke off and fell on a car. Please remove tree asap 
103,https://seeclickfix.com/files/issue_images/0064/4520/img-SCF__20161129_085149-6352125061687939577.jpg,There are trees hanging over our fence that are on 52nd street at the end. They need to be trimmed as they are growing onto our property and very low to the ground.
104,https://seeclickfix.com/files/issue_images/0065/2314/20161212_150946.jpg,"There is two trees on Flora Ave. between 66th Ave and Havenscourt that need to be pruned/trimmed. They attract illegal dumping, reduce lighting and attract illegal activities."
105,https://seeclickfix.com/files/issue_images/0065/9688/1483030466487.jpg,Tree pulling away from hillside others trees in this section have fallen into street
106,https://seeclickfix.com/files/issue_images/0067/0512/1484699506239.jpg,Dead trees along Frontage. 
107,https://seeclickfix.com/files/issue_images/0067/7281/1485550233732.jpg,Power lines run through overgrown branches that will break as they have in the past. Please trim tree!
108,https://seeclickfix.com/files/issue_images/0067/8409/1485465168897.jpg,Leaning acacia with swing-child safety hazard.
109,https://seeclickfix.com/files/issue_images/0068/7985/img-5938658922081177023.jpg,Tree branches are getting too close to power/utility lines.
110,https://seeclickfix.com/files/issue_images/0069/7640/1487978632869.jpg,"Power lines run through branches, one instance of tree growth engulfing wire. "
111,https://seeclickfix.com/files/issue_images/0070/4189/1488741220472.jpg,
112,https://seeclickfix.com/files/issue_images/0072/4810/This_Tree.JPG,THIS IS NOT AN EMERGENCY. It is simply a nuisance at this point. I would like to request to have the public tree brushing against my house be trimmed and maintained. When it brushes against my house at night it is loud and prevents me from sleeping. If the tree cannot be maintained them please remove/relocate it. Please help.
113,https://seeclickfix.com/files/issue_images/0073/1194/1491503023756.jpg,Street tree is looking rotten at base. In front of 412 Staten. 
114,https://seeclickfix.com/files/issue_images/0073/2136/IMG_5597.JPG,"I have reported the issue with the City of Oakland (Tree Dept.)
I purchased a house on 7539 Arthur Street on Dec. 2008
since then have had branches fallen down on my vehicle (parked on the street) in front of my house, due to the overgrown branches
The City advised that they did not have the funds available to prune/trim the tree (few years ago) which I had to pay myself because of the damages caused to my vehicles. Which was classified as an act of nature by the City. Yet I see other trees being planted in Oakland!! Don't understand how this is possible if they can't keep up with the ones already planted in dire need of trimming. Last nights wind caused a few branches to break off, the tree overhangs above my house and electrical cables...the problem with overgrown trees on Arthur Street (73rd to 78th Ave) must be resolved...They attract illegal dumping, reduce lighting and attract illegal activities."
115,https://seeclickfix.com/files/issue_images/0073/6977/img-image_13477652427136.jpg,Monterey pine trees in City lot leaning over house. Branches are weighting tree towards house. Several pines nearby have fallen in recent storms.
116,https://seeclickfix.com/files/issue_images/0074/5640/1492882833042.jpg,"DEAD AND LEANING trees #661 & #662, at 13463 Skyline median. "
117,https://seeclickfix.com/files/issue_images/0074/8970/img-image_676622026255483.jpg,
118,https://seeclickfix.com/files/issue_images/0075/4080/1493694719043.jpg,Growing crooked and you can't walk on sidewalk past street tree across from 1234 union
119,https://seeclickfix.com/files/issue_images/0075/7138/img-image_348371911390515.jpg,tree is pulling on power lines and coming over house. needs to be trimmed all the way back
120,https://seeclickfix.com/files/issue_images/0076/1956/Dead_Pine.jpg,There is a dead pine tree in center divider of Redwood Road.   i am afraid it will fall over in a good windstorm.
121,https://seeclickfix.com/files/issue_images/0076/6312/Screenshot_20170515-003417.jpg,Tree needs to be trimmed/branches cut
122,https://seeclickfix.com/files/issue_images/0077/0685/1495159267847.jpg,
123,https://seeclickfix.com/files/issue_images/0077/0685/1495159267847.jpg,
124,https://seeclickfix.com/files/issue_images/0077/6851/1495736920140.jpg,"A large tree has been removed on the sidewalk in front of 1765 8th Street, probably without a permit. Seems like they're doing work on the yard and did this as part of it -- the workers are still on site.  "
125,https://seeclickfix.com/files/issue_images/0080/8423/img-image_65943-856627641.jpg,Tree needs trimming - some limbs hanging just 5ft over the sidewalk.
126,https://seeclickfix.com/files/issue_images/0080/8546/1498781561861.jpg,Trees need to be trimmed. Blocking street light at night and encourages robbers to lurk at night in be neighborhood.
127,https://seeclickfix.com/files/issue_images/0081/3466/1498781603633.jpg,Trees need to be trimmed. Blocking street light at night and encourages robbers to lurk at night in be neighborhood.
128,https://seeclickfix.com/files/issue_images/0081/5915/img-image_1634111856911076.jpg,
129,https://seeclickfix.com/files/issue_images/0082/8150/img-image_23177295599021.jpg,sidewalk visibility impaired by trees
130,https://seeclickfix.com/files/issue_images/0083/5550/1501550200536.jpg,Dead jacaranda tree   Please replace with something more hearty like a palm 
131,https://seeclickfix.com/files/issue_images/0084/3427/375_41st_Street.jpg,Address approximate. Flowering plum here is definitively dead and needs to be removed.
132,https://seeclickfix.com/files/issue_images/0086/1393/IMG_20170829_170611.jpg,Trees are obstructing street sign at Fremont and 61st. Bushes on Fremont St to the North of 61st St have overgrown the sidewalk so that you have to stoop to pass under.
133,https://seeclickfix.com/files/issue_images/0086/5187/IMG_6434.JPG,Kinda hard to see the parking signs... also only one street sweeping sign on this entire block
134,https://seeclickfix.com/files/issue_images/0088/2134/img-SCF__20170925_184750-1778273664-772899708.jpeg,The tree canopy is too low.  It has attracted illegal activity. Please trim the tree up. 
135,https://seeclickfix.com/files/issue_images/0089/0691/img-SCF__20171007_100740-15507573551131172318.jpg,"trees are tangled in power lines

"
